83,Genova Classic French,  14.50 ,  13.50 ,  12.50 ,  12.50 ,  13.50 ,  12.50 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
84,Genova Classic Solid,  19.50 ,  18.50 ,  17.50 ,  16.50 ,  18.50 ,  17.50 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
85,Genova Classic Solid DF,  19.50 ,  18.50 ,  17.50 ,  16.50 ,  18.50 ,  17.50 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
86,Genova Flat ,  14.00 ,  13.00 ,  12.00 ,  10.95 ,  13.00 ,  12.00 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
87,Genova Flat  DF,  14.00 ,  13.00 ,  12.00 ,  10.95 ,  13.00 ,  12.00 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
88,Genova Frame,  14.00 ,  13.00 ,  12.00 ,  12.00 ,  13.00 ,  12.00 ,0,0,0,0,0,0,0,1,3,NULL,NULL,NULL
89,Genova French,  14.00 ,  13.00 ,  12.00 ,  12.00 ,  13.00 ,  12.00 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
90,Genova Solid ,  18.70 ,  17.70 ,  16.70 ,  15.70 ,  17.70 ,  16.70 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
91,Genova Solid  DF,  18.70 ,  17.70 ,  16.70 ,  15.70 ,  17.70 ,  16.70 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
92,"Glass Holder Rack 18"" Length",0,  37.00 ,0,0,0,0,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
93,"Glass Holder Rack 30"" Length",0,  58.00 ,0,0,0,0,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
94,"Glass Holder Rack 36"" Length",0,  62.00 ,0,0,0,0,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
95,Hampton Flat ,  12.50 ,  11.50 ,  10.50 ,  9.50 ,  11.50 ,  9.81 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
96,Hampton Flat  DF,  12.50 ,  11.50 ,  10.50 ,  9.50 ,  11.50 ,  9.81 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
97,Hampton Frame,  12.50 ,  11.50 ,  10.50 ,  10.50 ,  11.50 ,  9.81 ,0,0,0,0,0,0,0,1,3,NULL,NULL,NULL
98,Hampton French,  12.50 ,  11.50 ,  10.50 ,  10.50 ,  11.50 ,  9.81 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
99,Hampton Solid ,  16.75 ,  15.75 ,  14.75 ,  13.75 ,  15.75 ,  14.75 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
100,Hampton Solid  DF,  16.75 ,  15.75 ,  14.75 ,  13.75 ,  15.75 ,  14.75 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
101,Interior Door,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
102,Light Valance (feet),  4.50 ,  4.50 ,  4.50 ,  4.50 ,  4.50 ,  4.50 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
103,MD 1 Light Valance,  4.50 ,  4.50 ,  4.50 ,  4.50 ,  4.50 ,  4.50 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
104,MD Shaker Flat,  15.00 ,  14.00 ,  13.00 ,  12.00 ,  14.00 ,  13.00 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
105,MD Shaker Flat DF,  15.00 ,  14.00 ,  13.00 ,  12.00 ,  14.00 ,  13.00 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
106,MD Shaker Frame,  15.00 ,  14.00 ,  13.00 ,  12.00 ,  14.00 ,  13.00 ,0,0,0,0,0,0,0,1,3,NULL,NULL,NULL
107,MD Shaker5 Flat,  15.00 ,  14.00 ,  13.00 ,  12.00 ,  14.00 ,  13.00 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
108,MD Shaker5 Flat DF,  15.00 ,  14.00 ,  13.00 ,  12.00 ,  14.00 ,  13.00 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
109,MD Shaker5 Frame,  15.00 ,  14.00 ,  13.00 ,  12.00 ,  14.00 ,  13.00 ,0,0,0,0,0,0,0,1,3,NULL,NULL,NULL
